epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,40.5033,1.7955,1.34292,0.7841,0.8875,0.73684,0.80476,0.42344,1.86672,1.61684,0.7829,0.0011684,0.0011684,0.0011684
44,41.194,1.92193,1.46532,0.76857,0.97316,0.76316,0.81353,0.42788,1.81161,1.49277,0.77492,0.0011486,0.0011486,0.0011486
45,41.8716,1.73627,1.27722,0.7627,0.97226,0.76316,0.82252,0.43357,1.83039,1.45243,0.76937,0.0011288,0.0011288,0.0011288
46,42.5669,1.74466,1.29355,0.77015,0.87457,0.78947,0.82357,0.38115,2.04785,1.40983,0.78566,0.001109,0.001109,0.001109
47,43.2536,1.73091,1.26496,0.76694,0.85839,0.78947,0.80517,0.39142,1.82315,1.33174,0.78652,0.0010892,0.0010892,0.0010892
48,43.9424,1.64797,1.31295,0.75213,0.84018,0.78947,0.79856,0.40387,1.75379,1.25383,0.77056,0.0010694,0.0010694,0.0010694
49,44.627,1.64913,1.29617,0.78916,0.87719,0.65789,0.73326,0.31107,2.12675,1.37271,0.78345,0.0010496,0.0010496,0.0010496
50,45.3103,1.78811,1.21856,0.76699,0.90033,0.68421,0.77641,0.35535,2.05307,1.23428,0.77357,0.0010298,0.0010298,0.0010298
51,45.9958,1.70246,1.17269,0.75077,0.84581,0.78947,0.81568,0.41403,1.78422,1.07653,0.77067,0.00101,0.00101,0.00101
52,46.682,1.62216,1.21321,0.76319,0.87926,0.76664,0.84779,0.44276,1.76762,1.00736,0.76832,0.0009902,0.0009902,0.0009902
53,47.3601,1.8665,1.19108,0.7427,0.85557,0.77959,0.81905,0.4469,1.74973,1.00397,0.76807,0.0009704,0.0009704,0.0009704
54,48.045,1.63418,1.14205,0.74899,0.96538,0.7339,0.84821,0.47365,1.63861,0.94289,0.7607,0.0009506,0.0009506,0.0009506
55,48.767,1.57389,1.05781,0.74309,0.9381,0.73684,0.84496,0.39708,1.90133,1.02851,0.77304,0.0009308,0.0009308,0.0009308
56,49.4534,1.66111,1.12913,0.76787,0.89908,0.78947,0.84487,0.43678,1.76859,1.06788,0.75949,0.000911,0.000911,0.000911
57,50.1257,1.536,1.12546,0.7575,0.94493,0.76316,0.86423,0.48472,1.60401,1.03283,0.74759,0.0008912,0.0008912,0.0008912
58,50.8411,1.60962,1.07751,0.77376,0.94402,0.76316,0.86888,0.50344,1.64336,1.02287,0.75231,0.0008714,0.0008714,0.0008714
59,51.5576,1.58075,1.02589,0.79609,0.90832,0.84211,0.87045,0.49287,1.65311,0.96042,0.75457,0.0008516,0.0008516,0.0008516
60,52.2475,1.6804,1.16089,0.75615,0.88307,0.84211,0.86052,0.4816,1.57801,0.92857,0.75479,0.0008318,0.0008318,0.0008318
61,52.9231,1.86304,1.12098,0.75368,0.91355,0.83447,0.85102,0.50834,1.58732,0.91755,0.75277,0.000812,0.000812,0.000812
