epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,500.099,0.20519,1.70792,0.21899,0.2257,0.93328,0.99973,1,0.995,0.99068,0.99973,1,0.995,0.87247,0.20058,0.81485,0.30661,0.16602,0.52188,0.0014654,0.0014654,0.0014654
29,517.748,0.21105,1.66935,0.21129,0.21452,0.92879,0.99866,1,0.995,0.98841,0.99866,1,0.995,0.85055,0.21369,0.72951,0.27242,0.20543,0.51526,0.0014456,0.0014456,0.0014456
30,535.122,0.20255,1.64434,0.21837,0.21431,0.92784,0.99969,1,0.995,0.98992,0.99969,1,0.995,0.79815,0.17513,0.81473,0.27399,0.17278,0.48426,0.0014258,0.0014258,0.0014258
31,552.523,0.19393,1.58065,0.21154,0.21448,0.92546,0.99891,1,0.995,0.98778,0.99891,1,0.995,0.79247,0.19642,0.95123,0.2927,0.19815,0.48948,0.001406,0.001406,0.001406
32,569.91,0.20551,1.5482,0.21654,0.21315,0.92801,0.99963,1,0.995,0.98825,0.99963,1,0.995,0.81155,0.23391,0.77683,0.28367,0.17663,0.52308,0.0013862,0.0013862,0.0013862
33,587.313,0.20769,1.57893,0.21511,0.22052,0.93581,0.99972,1,0.995,0.99097,0.99972,1,0.995,0.84102,0.1983,0.83392,0.2871,0.18069,0.50622,0.0013664,0.0013664,0.0013664
34,604.703,0.18703,1.42661,0.20976,0.20315,0.91629,0.99972,1,0.995,0.98766,0.99972,1,0.995,0.85009,0.18989,0.81324,0.29038,0.18294,0.5,0.0013466,0.0013466,0.0013466
35,622.087,0.19683,1.47291,0.2087,0.20819,0.92571,0.99463,1,0.995,0.99041,0.99463,1,0.995,0.81114,0.20242,0.68697,0.28333,0.19379,0.50688,0.0013268,0.0013268,0.0013268
36,639.462,0.19351,1.39818,0.2046,0.20441,0.91984,0.99973,1,0.995,0.98996,0.99973,1,0.995,0.91234,0.1659,0.53594,0.2822,0.16231,0.47719,0.001307,0.001307,0.001307
37,657.096,0.18217,1.39915,0.20285,0.19522,0.92202,0.99973,1,0.995,0.9926,0.99973,1,0.995,0.8165,0.21335,0.70208,0.28012,0.16171,0.50373,0.0012872,0.0012872,0.0012872
38,674.469,0.1864,1.39763,0.20847,0.19496,0.91818,0.99973,1,0.995,0.99049,0.99973,1,0.995,0.89619,0.1954,0.64025,0.30153,0.17719,0.49656,0.0012674,0.0012674,0.0012674
39,691.93,0.1813,1.4067,0.21124,0.19542,0.91461,0.99955,1,0.995,0.99004,0.99955,1,0.995,0.90749,0.18071,0.54029,0.26805,0.18527,0.48101,0.0012476,0.0012476,0.0012476
40,709.307,0.18442,1.30703,0.20243,0.19548,0.91484,0.99951,1,0.995,0.99131,0.99951,1,0.995,0.9297,0.164,0.53142,0.28461,0.17162,0.46921,0.0012278,0.0012278,0.0012278
41,726.932,0.18691,1.28812,0.20298,0.19703,0.91753,0.99973,1,0.995,0.99049,0.99973,1,0.995,0.86268,0.19137,0.62139,0.30536,0.18219,0.48933,0.001208,0.001208,0.001208
42,744.347,0.17745,1.2024,0.19557,0.18865,0.90858,0.99972,1,0.995,0.96673,0.99972,1,0.995,0.91751,0.16435,0.50902,0.28708,0.16246,0.45625,0.0011882,0.0011882,0.0011882
43,761.739,0.17481,1.24113,0.20007,0.18928,0.91506,0.99951,1,0.995,0.99337,0.99951,1,0.995,0.89994,0.15352,0.58681,0.28405,0.20402,0.45832,0.0011684,0.0011684,0.0011684
44,779.115,0.17768,1.17042,0.19833,0.19104,0.9116,0.99972,1,0.995,0.99187,0.99972,1,0.995,0.89668,0.14892,0.53328,0.27011,0.14709,0.45256,0.0011486,0.0011486,0.0011486
45,796.514,0.17244,1.17118,0.19329,0.18267,0.91228,0.99973,1,0.995,0.99486,0.99973,1,0.995,0.93329,0.16487,0.40085,0.27302,0.15267,0.45441,0.0011288,0.0011288,0.0011288
46,814.172,0.17163,1.16209,0.19757,0.18228,0.91885,0.99973,1,0.995,0.99021,0.99973,1,0.995,0.92988,0.14316,0.50024,0.27892,0.13425,0.45849,0.001109,0.001109,0.001109
47,831.574,0.16545,1.19056,0.19583,0.18371,0.91232,0.99973,1,0.995,0.98544,0.99973,1,0.995,0.9399,0.22096,0.49139,0.25578,0.22832,0.4938,0.0010892,0.0010892,0.0010892
48,849.047,0.17524,1.13762,0.19873,0.18824,0.91137,0.9997,1,0.995,0.99048,0.9997,1,0.995,0.89602,0.18321,0.50551,0.26712,0.17076,0.47928,0.0010694,0.0010694,0.0010694
49,866.482,0.17648,1.12649,0.19082,0.18648,0.91369,0.99972,1,0.995,0.9937,0.99972,1,0.995,0.9179,0.15383,0.45979,0.28141,0.16517,0.44064,0.0010496,0.0010496,0.0010496
50,883.87,0.16899,1.09683,0.19216,0.17831,0.91108,0.99973,1,0.995,0.99195,0.99973,1,0.995,0.92659,0.14418,0.41587,0.27842,0.15889,0.44218,0.0010298,0.0010298,0.0010298
51,901.251,0.1634,1.10443,0.18806,0.17672,0.90966,0.99973,1,0.995,0.99371,0.99973,1,0.995,0.91042,0.14563,0.56843,0.26674,0.14905,0.44469,0.00101,0.00101,0.00101
52,918.611,0.1655,1.06638,0.19792,0.17635,0.91029,0.99972,1,0.995,0.99276,0.99972,1,0.995,0.94886,0.17378,0.46918,0.27121,0.15784,0.47129,0.0009902,0.0009902,0.0009902
53,936.282,0.16406,1.00642,0.1878,0.17985,0.9092,0.99971,1,0.995,0.99076,0.99971,1,0.995,0.93916,0.15725,0.50261,0.27184,0.16579,0.45429,0.0009704,0.0009704,0.0009704
54,953.663,0.1577,0.95406,0.19081,0.17313,0.90688,0.99972,1,0.995,0.99373,0.99972,1,0.995,0.94053,0.174,0.40665,0.26584,0.18308,0.45138,0.0009506,0.0009506,0.0009506
55,971.075,0.16189,0.99064,0.18882,0.17736,0.91177,0.99973,1,0.995,0.99195,0.99973,1,0.995,0.93669,0.16264,0.45471,0.27717,0.15406,0.45523,0.0009308,0.0009308,0.0009308
56,988.458,0.16314,0.92103,0.18841,0.17234,0.91368,0.99973,1,0.995,0.98979,0.99973,1,0.995,0.92557,0.17197,0.3792,0.27975,0.19105,0.44883,0.000911,0.000911,0.000911
57,1005.87,0.15802,0.92078,0.19225,0.17014,0.90935,0.99971,1,0.995,0.9934,0.99971,1,0.995,0.90596,0.16515,0.38223,0.24188,0.13763,0.46976,0.0008912,0.0008912,0.0008912
58,1023.26,0.15308,0.92437,0.18372,0.1673,0.90509,0.99973,1,0.995,0.99322,0.99973,1,0.995,0.95063,0.14114,0.37304,0.27979,0.14726,0.43729,0.0008714,0.0008714,0.0008714
59,1040.91,0.15632,0.87293,0.17736,0.16794,0.90736,0.99972,1,0.995,0.99478,0.99972,1,0.995,0.94646,0.15706,0.41634,0.27083,0.15007,0.45886,0.0008516,0.0008516,0.0008516
60,1058.31,0.15258,0.83065,0.17855,0.1623,0.90351,0.99973,1,0.995,0.99349,0.99973,1,0.995,0.94922,0.16583,0.3782,0.25943,0.15337,0.46433,0.0008318,0.0008318,0.0008318
61,1075.72,0.15399,0.86404,0.18238,0.16997,0.90567,0.99969,1,0.995,0.99364,0.99969,1,0.995,0.89619,0.13766,0.39512,0.26381,0.13439,0.43658,0.000812,0.000812,0.000812
62,1093.11,0.1448,0.81057,0.18079,0.16037,0.90193,0.99972,1,0.995,0.99276,0.99972,1,0.995,0.94679,0.16946,0.36422,0.2585,0.12639,0.46329,0.0007922,0.0007922,0.0007922
63,1110.53,0.14738,0.8541,0.18206,0.16333,0.90896,0.99957,1,0.995,0.99366,0.99957,1,0.995,0.91952,0.12989,0.34541,0.24231,0.13232,0.42698,0.0007724,0.0007724,0.0007724
64,1127.93,0.14559,0.78022,0.17909,0.16126,0.90021,0.99967,1,0.995,0.99156,0.99967,1,0.995,0.92695,0.1246,0.28894,0.24529,0.12956,0.4259,0.0007526,0.0007526,0.0007526
65,1145.36,0.15231,0.84198,0.1754,0.16399,0.90528,0.99971,1,0.995,0.99329,0.99971,1,0.995,0.94849,0.15016,0.25896,0.24065,0.13166,0.44638,0.0007328,0.0007328,0.0007328
66,1162.78,0.14416,0.75174,0.18346,0.15841,0.90333,0.99973,1,0.995,0.99225,0.99973,1,0.995,0.95764,0.15871,0.29748,0.24484,0.12785,0.44665,0.000713,0.000713,0.000713
67,1180.44,0.14445,0.75624,0.18074,0.15819,0.89953,0.99973,1,0.995,0.99323,0.99973,1,0.995,0.9423,0.142,0.31303,0.2509,0.15221,0.43261,0.0006932,0.0006932,0.0006932
68,1197.84,0.14489,0.75449,0.17472,0.15863,0.90251,0.99974,1,0.995,0.99353,0.99974,1,0.995,0.92862,0.14648,0.38974,0.24399,0.13011,0.45202,0.0006734,0.0006734,0.0006734
