epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,92.646,1.17532,0.62227,0.92946,0.92038,0.92382,0.96214,0.59205,1.29332,0.66479,1.02771,0.000848969,0.000848969,0.000848969
43,94.9694,1.14966,0.60355,0.91786,0.93616,0.90287,0.95606,0.60938,1.23746,0.64804,1.00515,0.000834822,0.000834822,0.000834822
44,97.3631,1.15206,0.60261,0.90375,0.94956,0.89879,0.95463,0.60767,1.28893,0.63872,1.01422,0.000820675,0.000820675,0.000820675
45,99.4498,1.17194,0.59811,0.92492,0.9312,0.9251,0.96062,0.58657,1.30944,0.64811,1.01745,0.000806528,0.000806528,0.000806528
46,101.527,1.12013,0.59666,0.9191,0.95028,0.92147,0.96505,0.61377,1.24408,0.61827,1.00595,0.00079238,0.00079238,0.00079238
47,103.834,1.08889,0.57088,0.91114,0.91702,0.91249,0.95145,0.59532,1.27542,0.61967,1.02198,0.000778233,0.000778233,0.000778233
48,105.888,1.12471,0.58792,0.91411,0.92307,0.90715,0.94668,0.58481,1.29157,0.64486,1.0348,0.000764086,0.000764086,0.000764086
49,107.96,1.16776,0.59886,0.91845,0.93414,0.92572,0.95237,0.56664,1.35096,0.65988,1.05833,0.000749939,0.000749939,0.000749939
50,110.039,1.14691,0.58692,0.9113,0.94973,0.92141,0.95487,0.58766,1.28473,0.63628,1.04613,0.000735792,0.000735792,0.000735792
51,112.105,1.11299,0.58675,0.91135,0.9479,0.91384,0.95899,0.5787,1.33233,0.63864,1.05611,0.000721645,0.000721645,0.000721645
52,114.179,1.12433,0.57084,0.92518,0.94509,0.91714,0.95741,0.60165,1.27897,0.63137,1.03604,0.000707498,0.000707498,0.000707498
53,116.258,1.08342,0.56012,0.90076,0.94101,0.93876,0.96543,0.60958,1.25186,0.60871,1.0235,0.000693351,0.000693351,0.000693351
54,118.343,1.09001,0.5672,0.89432,0.96921,0.90478,0.95738,0.6095,1.24982,0.60139,1.0195,0.000679204,0.000679204,0.000679204
55,120.417,1.07619,0.55779,0.90228,0.95461,0.89919,0.95853,0.60862,1.26453,0.60872,1.02217,0.000665057,0.000665057,0.000665057
56,122.491,1.09529,0.56282,0.8888,0.93398,0.92888,0.96129,0.60193,1.26422,0.62236,1.01044,0.000650909,0.000650909,0.000650909
57,124.565,1.05744,0.54459,0.89032,0.94999,0.91601,0.95971,0.59597,1.30532,0.6247,1.02531,0.000636762,0.000636762,0.000636762
58,126.639,1.07332,0.55016,0.87876,0.95411,0.92396,0.95963,0.60687,1.26877,0.62518,1.01861,0.000622615,0.000622615,0.000622615
59,128.713,1.07852,0.54956,0.90258,0.94679,0.91903,0.96042,0.61408,1.24721,0.60967,1.01979,0.000608468,0.000608468,0.000608468
60,131.05,1.07128,0.54788,0.88837,0.9525,0.90678,0.95824,0.58584,1.31484,0.61671,1.0307,0.000594321,0.000594321,0.000594321
